,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0006363819292158527
5,0.00036075600249082856
6,4.308350885421164e-06
7,0.00108634345951598
8,5.99580933766203e-05
9,0.0
10,5.514723698422548e-05
11,0.0
12,0.0
13,1.478916443223094e-05
14,0.001180495211931407
15,0.0007434026203332104
16,0.00031733327628486276
17,0.0
18,0.09166773201126122
19,0.10763803618180859
20,0.00014344894925140658
21,3.958207038722244e-05
22,8.041964518624145e-05
23,5.0506417840080766e-05
24,0.001053287877459763
25,0.0
26,0.00032923814765742007
27,8.766564229083006e-06
28,4.1194671891450455e-06
29,0.00039071759999651255
30,0.0007974392146129386
31,0.003749294434083811
32,0.0006941503108547152
33,0.02555626234646919
34,0.00011765340743292435
35,0.00010402117420954406
36,0.00044599396441403615
37,0.0
38,7.448928407231299e-05
39,0.00017350313348746827
40,0.001270184954625853
41,0.0006365444217838945
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,8.127923756981246e-06
66,2.81314186900204e-06
67,3.4557269714782263e-07
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.010973001318658648
82,0.03558758154148911
83,0.01999365061229892
84,0.04961354994584115
85,0.30925142211393547
86,0.40407764111805883
87,0.28717035301323834
88,0.00503169473991083
89,0.0
90,0.2599841809433446
91,0.01941519170674795
92,0.25843888183784847
93,0.06509129647255468
94,0.06946027140635848
95,0.05576858160665315
96,0.09012174281549729
97,0.4552656522229284
98,0.09450926025873713
99,0.034321867696216146
100,0.028072411218347082
101,0.021893973404319554
102,0.0
103,0.2642028351009116
104,0.006434523882088075
105,0.005128984501505404
106,0.1181528412821981
107,0.000630139736780714
108,0.0010853233212426154
109,0.0020195685897686473
110,0.015365427653211769
111,0.005939607256680562
112,0.025433124482418978
113,0.0021375931627320042
114,0.004405923832349895
115,0.0010346260482226304
116,0.0013886819265296238
117,0.0019146439548143775
118,0.0019217338905965086
119,0.002055772707793274
120,0.0030915187782083317
121,0.00018270982651601478
122,2.5522861513891453e-05
123,2.688007993823914e-05
124,6.736207654878368e-05
125,0.0
126,0.00012174073595610197
127,8.637972385978684e-05
128,2.5573922755392876e-08
129,7.828327429052551e-05
130,0.0002934409668085178
131,0.0
132,0.000253309300053628
133,7.425471485812426e-05
134,0.0
135,0.0
136,0.00040522280199753176
137,0.0003190162506904732
138,0.0
139,0.0
140,2.265427629095992e-06
141,0.0
142,0.0
143,0.0
144,0.00021097390059170794
145,0.0
146,5.2526229150105336e-08
147,0.0
148,0.0002023159821232315
149,0.0003223593097004099
150,0.0
151,2.7713919009278868e-05
152,0.0
153,0.0
154,2.4799336413368977e-06
155,0.0
156,9.73972694833248e-07
157,0.0
158,1.3132421576943755e-06
159,0.0006859542795346338
160,0.0
161,0.0003151159135155978
162,6.061560141961401e-06
163,3.606220324399832e-06
164,0.00011068564890293825
165,0.0
166,3.576677126259156e-06
167,3.825119021106628e-06
168,1.3420401038554306e-05
169,1.2811079008944913e-06
170,0.0
171,1.028953877847653e-05
172,0.00015007894431187153
173,8.656391453738714e-05
174,0.0
175,0.0
176,0.0
177,6.478377674204292e-05
178,4.120959274060146e-05
179,0.0
180,0.0001087183551353036
181,0.000294715151696885
182,3.520817029618689e-05
183,0.0
184,1.1964177008299107e-05
185,5.969050775900639e-05
186,0.0
187,0.0
188,0.23647268835776114
189,0.014377294644297767
190,0.026064299910159423
191,0.001255726504811035
192,0.018536210086911552
193,0.017370123810887463
194,0.000992087825963291
195,0.5959145169367596
196,0.010375453465425667
197,0.07030716946054116
198,0.0477773348619081
199,0.0010408802237673513
200,0.005268125592760711
201,0.022366202437359727
202,0.00012124643910363508
203,6.46667248060016e-05
204,0.0007044740552586479
205,0.0007386907285268419
206,0.0002518596438567779
207,0.00024554917667390805
208,1.8468342684244337e-05
209,6.463209904307653e-05
210,0.0
211,0.0
212,0.0004406897155832244
213,6.629724553395644e-05
214,0.001807460224813421
215,0.0
216,6.159417269647825e-05
217,1.2258339225823292e-08
218,0.0012562469716257772
219,0.0
220,0.0
221,0.00010722537010935269
222,0.0002247618587486998
223,0.00040050707336561467
224,0.0015264699815225051
225,0.005728460410378599
226,7.874131166847554e-05
227,0.0008558671452235008
228,0.0007193802839015004
229,0.0005954232764431186
230,9.558589488196736e-05
231,0.00013204493147426501
232,0.0004408436185181714
233,4.8114442490329114e-08
234,0.0006893750802941676
235,1.3081581430723745e-05
236,0.0026969411822914775
237,4.956046811028378e-08
238,0.00027635281133406867
239,0.005682002373047956
240,0.013304637049598613
241,0.009040832764794077
242,0.0008815531195943808
243,4.204780726348823e-06
244,0.0017759718960131516
245,0.0005144249654806813
246,2.3578307349025953e-05
247,1.2692281213421845e-05
248,0.0022493608564647183
249,0.0006583675357038798
250,0.0001214919705156755
251,0.0008865715553116291
252,0.0007758205660652503
253,0.0008419583092216861
254,0.00042438830553864174
255,2.273464447307527e-05
256,0.0003712734152097876
257,0.0
258,0.001310463197635343
259,3.3923609905930604e-06
260,0.0003111454860957269
261,0.001339967558442067
262,0.0
263,5.2966474360208774e-05
264,0.0
265,3.229957614296318e-05
266,5.6971324765142385e-06
267,0.00026559284466946
268,8.18600406393487e-06
269,0.0
270,2.0252756244375033e-05
271,2.1379074744847096e-07
272,1.6489782493045896e-06
273,8.747021146480023e-07
274,0.0003112990712351494
275,5.188362188425779e-06
276,1.3054807075046487e-05
277,0.0002981948051769695
278,0.00031103210328353443
279,8.47569704097991e-07
280,0.0
281,1.2636418187160993e-07
282,0.0
283,0.0011669710495623984
284,0.002718677190420107
285,0.0002291546356476792
286,2.6985331354663803e-05
287,0.00027684080964309707
288,2.623287633283142e-07
289,0.0
290,0.00029282945122122443
291,0.0
292,1.2934317005452018e-05
293,0.0003492998452500511
294,8.918052058227963e-05
295,0.00020901342269168162
296,0.00041997080825208465
297,6.951404060240954e-05
298,0.0005730144266243193
299,0.0
300,0.00011667324329037995
301,4.9372582534865886e-05
302,0.0
303,2.782274114157329e-06
304,6.342680920495085e-05
305,0.0010752461907679789
306,4.624613642662505e-06
307,0.00017137461733807353
308,3.6957636745307636e-05
309,2.9853535379043734e-06
310,0.0012388549012690678
311,1.9332164567723968e-05
312,9.14165413286556e-05
313,8.124590374137146e-05
314,0.0008849193938520932
315,0.0
316,0.00010557193728520684
317,7.00815804963473e-05
318,0.00026903679097668015
319,0.0004320216294700398
320,7.991583399123784e-05
321,0.00015905222901379544
322,6.636286118935927e-06
323,1.96310575209465e-05
324,0.00025440445239603194
325,0.0011076941111433918
